Woonplaatsen;Provincie/Naam (Naam)
1e Exloërmond;Drenthe                  
2e Exloërmond;Drenthe                  
2e Valthermond;Drenthe                  
Aadorp;Overijssel               
Aagtekerke;Zeeland                  
Aalden;Drenthe                  
Aalsmeer;Noord-Holland            
Aalsmeerderbrug;Noord-Holland            
Aalst;Gelderland               
Aalsum;Fryslân                  
Aalten;Gelderland               
Aardenburg;Zeeland                  
Aarlanderveen;Zuid-Holland             
Aarle-Rixtel;Noord-Brabant            
Aartswoud;Noord-Holland            
Abbega;Fryslân                  
Abbekerk;Noord-Holland            
Abbenbroek;Zuid-Holland             
Abbenes;Noord-Holland            
Abcoude;Utrecht                  
Achlum;Fryslân                  
Achterveld;Gelderland               
Achterveld;Utrecht                  
Achthuizen;Zuid-Holland             
Achtmaal;Noord-Brabant            
Acquoy;Gelderland               
Adorp;Groningen                
Aduard;Groningen                
Aerdenhout;Noord-Holland            
Aerdt;Gelderland               
Afferden L;Limburg                  
Afferden;Gelderland               
Agelo;Overijssel               
Akersloot;Noord-Holland            
Akkrum;Fryslân                  
Akmarijp;Fryslân                  
Albergen;Overijssel               
Alblasserdam;Zuid-Holland             
Alde Leie;Fryslân                  
Aldeboarn;Fryslân                  
Aldtsjerk;Fryslân                  
Aldwâld;Fryslân                  
Alem;Gelderland               
Alkmaar;Noord-Holland            
Allingawier;Fryslân                  
Almelo;Overijssel               
Almen;Gelderland               
Almere;Flevoland                
Almkerk;Noord-Brabant            
Alphen aan den Rijn;Zuid-Holland             
Alphen;Gelderland               
Alphen;Noord-Brabant            
Alteveer gem Hoogeveen;Drenthe                  
Alteveer;Drenthe                  
Alteveer;Groningen                
Altforst;Gelderland               
Ambt Delden;Overijssel               
Ameide;Utrecht                  
Amen;Drenthe                  
America;Limburg                  
Amerongen;Utrecht                  
Amersfoort;Utrecht                  
Ammerstol;Zuid-Holland             
Ammerzoden;Gelderland               
Amstelhoek;Utrecht                  
Amstelveen;Noord-Holland            
Amstenrade;Limburg                  
Amsterdam;Noord-Holland            
Amsterdam-Duivendrecht;Noord-Holland            
Andel;Noord-Brabant            
Andelst;Gelderland               
Anderen;Drenthe                  
Andijk;Noord-Holland            
Ane;Overijssel               
Anerveen;Overijssel               
Anevelde;Overijssel               
Angeren;Gelderland               
Angerlo;Gelderland               
Ankeveen;Noord-Holland            
Anloo;Drenthe                  
Anna Paulowna;Noord-Holland            
Annen;Drenthe                  
Annerveenschekanaal;Drenthe                  
Ansen;Drenthe                  
Apeldoorn;Gelderland               
Appelscha;Fryslân                  
Appeltern;Gelderland               
Appingedam;Groningen                
Arcen;Limburg                  
Arkel;Zuid-Holland             
Arnemuiden;Zeeland                  
Arnhem;Gelderland               
Arriën;Overijssel               
Arum;Fryslân                  
Asch;Gelderland               
Asperen;Gelderland               
Assen;Drenthe                  
Assendelft;Noord-Holland            
Asten;Noord-Brabant            
Augsbuert-Lytsewâld;Fryslân                  
Augustinusga;Fryslân                  
Austerlitz;Utrecht                  
Avenhorn;Noord-Holland            
Axel;Zeeland                  
Azewijn;Gelderland               
Baaiduinen;Fryslân                  
Baaium;Fryslân                  
Baak;Gelderland               
Baambrugge;Utrecht                  
Baard;Fryslân                  
Baarland;Zeeland                  
Baarle-Nassau;Noord-Brabant            
Baarlo;Limburg                  
Baarlo;Overijssel               
Baarn;Utrecht                  
Baars;Overijssel               
Babberich;Gelderland               
Babyloniënbroek;Noord-Brabant            
Bad Nieuweschans;Groningen                
Badhoevedorp;Noord-Holland            
Baexem;Limburg                  
Baflo;Groningen                
Bakel;Noord-Brabant            
Bakhuizen;Fryslân                  
Bakkeveen;Fryslân                  
Balgoij;Gelderland               
Balinge;Drenthe                  
Balk;Fryslân                  
Balkbrug;Overijssel               
Balloërveld;Drenthe                  
Balloo;Drenthe                  
Ballum;Fryslân                  
Baneheide;Limburg                  
Banholt;Limburg                  
Bant;Flevoland                
Bantega;Fryslân                  
Barchem;Gelderland               
Barendrecht;Zuid-Holland             
Barger-Compascuum;Drenthe                  
Barneveld;Gelderland               
Barsingerhorn;Noord-Holland            
Basse;Overijssel               
Batenburg;Gelderland               
Bathmen;Overijssel               
Bavel AC;Noord-Brabant            
Bavel;Noord-Brabant            
Bears;Fryslân                  
Bedum;Groningen                
Beegden;Limburg                  
Beek en Donk;Noord-Brabant            
Beek;Gelderland               
Beek;Limburg                  
Beekbergen;Gelderland               
Beemte Broekland;Gelderland               
Beers NB;Noord-Brabant            
Beerta;Groningen                
Beerze;Overijssel               
Beerzerveld;Overijssel               
Beesd;Gelderland               
Beesel;Limburg                  
Beets;Noord-Holland            
Beetsterzwaag;Fryslân                  
Beilen;Drenthe                  
Beinsdorp;Noord-Holland            
Belfeld;Limburg                  
Bellingwolde;Groningen                
Beltrum;Gelderland               
Belt-Schutsloot;Overijssel               
Bemelen;Limburg                  
Bemmel;Gelderland               
Beneden-Leeuwen;Gelderland               
Bennebroek;Noord-Holland            
Bennekom;Gelderland               
Benneveld;Drenthe                  
Benningbroek;Noord-Holland            
Benschop;Utrecht                  
Bentelo;Overijssel               
Benthuizen;Zuid-Holland             
Bentveld;Noord-Holland            
Berg en Dal;Gelderland               
Berg en Terblijt;Limburg                  
Bergambacht;Zuid-Holland             
Bergeijk;Noord-Brabant            
Bergen (NH);Noord-Holland            
Bergen aan Zee;Noord-Holland            
Bergen L;Limburg                  
Bergen op Zoom;Noord-Brabant            
Bergentheim;Overijssel               
Bergharen;Gelderland               
Berghem;Noord-Brabant            
Bergschenhoek;Zuid-Holland             
Beringe;Limburg                  
Berkel en Rodenrijs;Zuid-Holland             
Berkel-Enschot;Noord-Brabant            
Berkenwoude;Zuid-Holland             
Berkhout;Noord-Holland            
Berlicum;Noord-Brabant            
Berltsum;Fryslân                  
Bern;Gelderland               
Best;Noord-Brabant            
Beugen;Noord-Brabant            
Beuningen Gld;Gelderland               
Beuningen;Overijssel               
Beusichem;Gelderland               
Beutenaken;Limburg                  
Beverwijk;Noord-Holland            
Biddinghuizen;Flevoland                
Bierum;Groningen                
Biervliet;Zeeland                  
Biest-Houtakker;Noord-Brabant            
Biezenmortel;Noord-Brabant            
Biggekerke;Zeeland                  
Bilthoven;Utrecht                  
Bingelrade;Limburg                  
Bitgum;Fryslân                  
Bitgummole;Fryslân                  
Bladel;Noord-Brabant            
Blankenham;Overijssel               
Blaricum;Noord-Holland            
Blauwestad;Groningen                
Blauwhuis;Fryslân                  
Bleiswijk;Zuid-Holland             
Blesdijke;Fryslân                  
Bleskensgraaf ca;Zuid-Holland             
Blessum;Fryslân                  
Blije;Fryslân                  
Blijham;Groningen                
Blitterswijck;Limburg                  
Bloemendaal;Noord-Holland            
Blokker;Noord-Holland            
Blokzijl;Overijssel               
Boarnwert;Fryslân                  
Boazum;Fryslân                  
Bocholtz;Limburg                  
Bodegraven;Zuid-Holland             
Boekel;Noord-Brabant            
Boelenslaan;Fryslân                  
Boer;Fryslân                  
Boerakker;Groningen                
Boesingheliede;Noord-Holland            
Boijl;Fryslân                  
Boksum;Fryslân                  
Bolsward;Fryslân                  
Bontebok;Fryslân                  
Boornbergum;Fryslân                  
Boornzwaag;Fryslân                  
Borculo;Gelderland               
Borger;Drenthe                  
Borgercompagnie;Groningen                
Borgsweer;Groningen                
Born;Limburg                  
Borne;Overijssel               
Bornerbroek;Overijssel               
Borssele;Zeeland                  
Bosch en Duin;Utrecht                  
Boschoord;Drenthe                  
Boskoop;Zuid-Holland             
Bosschenhoofd;Noord-Brabant            
Botlek Rotterdam;Zuid-Holland             
Bourtange;Groningen                
Bovenkarspel;Noord-Holland            
Boven-Leeuwen;Gelderland               
Bovensmilde;Drenthe                  
Boxmeer;Noord-Brabant            
